word,frequency
tercera,30
marco,35
programatico,30
cultura,16
ciudadana,14
prioridad,3
implementacion,28
politica,57
ciuda,1
dana,1
busca,8
gestion,30
local,2
transformacion,12
imaginarios,10
comportamientos,4
habitos,8
representaciones,2
culturales,22
configuraciones,1
simbolicas,1
ciudad,71
acuerdo,21
abordaran,1
enfoques,11
diferenciales,5
promocion,31
sana,4
convivencia,17
recoge,1
publica,67
reconocimiento,12
diversidad,8
sexual,14
identidades,5
genero,65
proteccion,33
restablecimiento,7
atencion,67
garantia,25
derechos,130
personas,110
lesbianas,2
gais,2
bisexuales,2
transgeneristas,2
intersexuales,1
lgbti,6
municipio,15
principalmente,7
dentro,3
concepto,3
diver,1
sidad,1
cultural,9
toman,2
voluntariado,1
estimulos,3
arte,2
estrategias,44
complementarias,4
desarrollo,103
programa,49
componente,20
implicito,1
capacidades,26
ciudadania,12
aportar,8
pacifica,1
aborda,1
confianza,5
mecanismo,4
cooperacion,2
eje,2
solidaridad,6
logro,8
consensos,1
respeto,7
diferencias,3
distintos,3
niveles,2
fisicas,1
politicas,26
sociales,32
otras,9
maestrosas,1
lideres,1
futuro,42
avanzado,1
acciones,68
adopta,3
formacion,14
maestros,3
maestras,3
articulada,2
centro,9
innovacion,5
maestro,1
mova,1
cuatro,3
lineas,5
humano,16
situada,1
reflexion,4
metodologica,1
investigacion,2
insumos,1
importantes,2
bienestar,22
laboral,5
social,164
capitulo,1
iii,2
linea,57
estrategica,14
cuida,11
estrategia,13
surge,1
respuesta,2
situacion,22
mundial,1
generada,1
pandemia,5
conlleva,1
vulnerabilidad,19
esencial,2
resulta,1
cuidado,50
vinculo,1
hacerle,1
frente,6
modernidad,1
promovido,1
autonomia,14
concepcion,3
sujeto,4
derecho,25
habita,1
necesita,1
dependiente,1
entramado,1
provee,1
cuidados,11
distinta,1
indole,1
sentido,10
concibe,1
apuesta,4
llevar,3
cabo,1
protectoras,1
vida,84
integridad,1
considerado,1
actividad,15
valiosa,1
supervivencia,1
humana,5
perspectiva,5
vital,4
responda,1
necesidades,19
enmarcada,1
definicion,2
terminos,6
planteados,1
joan,3
tronto,2
berenice,1
fisher,1
caracteristica,1
especie,2
incluye,9
hacemos,1
vistas,1
mantener,2
continuar,2
reparar,1
mundo,4
tal,6
manera,15
podamos,2
vivir,7
plan,70
mejor,6
posible,3
cuerpos,8
nuestras,3
individualidades,1
entorno,8
buscamos,1
tejer,1
juntos,1
red,8
compleja,1
sostiene,1
economia,1
proveen,1
distribuyen,1
intercambian,1
consumen,1
servicios,35
hogares,15
fuera,1
ellos,3
forma,13
remunerada,1
importante,1
considerar,3
alrededor,4
poblacion,67
ocupada,1
encuentra,2
condicio,1
nes,3
informalidad,1
restringe,1
acceso,33
ello,7
habilitar,1
garantizar,22
especial,12
mujeres,117
hombres,15
cuentan,3
efectiva,9
estar,3
amparados,1
sistemas,4
efectivos,2
comprension,4
inequidades,3
inscribe,2
particularmente,3
definidas,2
cuidadoras,1
excelencia,1
responsabilizadas,1
casi,1
exclusiva,1
labores,2
domesticas,4
asumir,2
natural,2
division,1
trabajo,29
sexos,1
detrimento,2
economica,21
fisica,18
modo,3
sino,6
necesidad,3
superacion,4
reconocer,12
etapas,2
iniciales,1
finales,1
persona,3
requiere,3
contrario,1
necesarios,2
cualquier,3
momento,1
sujetos,8
dadores,1
gestionar,8
asunto,4
resolverse,1
esfera,2
privado,6
ademas,9
competencia,1
soporte,1
estado,10
comunidad,9
sector,8
aspectos,3
tales,3
tiempos,13
configuran,1
relaciones,8
personales,2
establecen,1
particularidades,2
curso,7
etnia,2
sexo,4
condiciones,43
discapacidad,22
migracion,3
victima,1
conflicto,8
armado,5
convierte,1
crear,4
regimen,2
bajo,7
escenario,3
igualdad,27
corresponsabilidad,3
pri,1
vado,1
fin,12
redistribuir,1
invertidos,1
actividades,6
horas,5
domestico,8
remunerado,5
tdycnr,1
recursos,5
asignados,2
dichas,2
ampliar,2
bienes,4
pro,4
mueven,1
cuidar,3
distintas,2
formas,5
ahi,1
redistribucion,1
dedicados,2
remuneradas,3
produccion,2
mercantil,1
tendrian,1
flexibilizarse,1
ajustarse,1
jornadas,1
necesarias,2
preservar,1
posibilitando,2
discontinua,1
participar,2
familiar,16
dependera,1
ciclo,4
mujer,5
hombre,1
citado,1
care,2
the,1
work,1
citizens,1
end,1
dialogues,1
conference,1
bergen,1
norway,1
october,1
trataria,1
entonces,4
modificar,2
organizacion,6
heredada,1
revolucion,2
industrial,2
tiempo,10
productivo,5
unico,2
valorado,1
planea,2
reedicion,1
misma,4
cuarta,1
tendran,2
empezar,1
valorar,1
dedican,1
tanto,7
