word,frequency
tercera,25
marco,38
programatico,25
precedente,1
importante,2
acciones,57
desarrollar,8
requiere,2
vinculacion,1
poblacion,20
consulta,1
previa,1
hito,1
establecimiento,1
mesa,1
concer,1
tacion,2
indigena,1
desarrollo,87
reconocimiento,9
diversidad,5
sexual,1
identidades,1
genero,5
referente,1
plan,60
estrategico,3
construido,6
cuatrienio,1
anterior,7
identifican,1
importantes,1
terminos,3
salud,9
educacion,17
trabajo,5
digno,2
integridad,1
seguridad,11
personal,1
goce,1
espacio,39
publico,57
fortalecimiento,15
organizaciones,1
fomento,2
liderazgo,1
sistemas,16
informacion,9
gestion,103
conocimiento,8
sistematizacion,1
expe,1
riencias,1
comunicacion,10
publica,27
inclusion,6
personas,12
discapacidad,2
ejercicio,6
derechos,12
libertades,1
oportunidades,3
capacidades,4
partir,11
atencion,8
necesidades,5
eliminacion,1
barreras,3
limitan,1
participacion,15
programas,15
proyectos,28
estrategias,26
deben,5
dar,3
respuesta,10
ejes,2
lineas,6
accion,12
politica,41
acuerdo,16
permitan,16
inclusivas,1
diferenciadas,1
afirmativas,1
considerando,3
entorno,4
condiciones,15
sociales,15
historicas,1
garantia,2
capitulo,2
linea,48
estrategica,6
ecociudad,7
contexto,4
global,1
ciudades,5
convierten,2
realidades,1
sociopoliticas,1
economicas,10
culturales,11
espaciotemporales,1
funcion,3
multiples,3
territorialidades,1
habitan,2
territorializan,1
respecto,3
ciudad,88
caracterizado,2
dinamismo,1
creciente,2
capacidad,11
implementar,21
urbanisticos,2
economicos,1
puesto,1
nivel,14
nacional,21
internacional,4
sentido,7
intervenciones,9
urbanas,6
tenido,1
papel,1
protagonico,1
tanto,12
buscado,1
devolver,1
gobernabilidad,2
territorios,13
historicamente,1
permanecido,1
margen,1
intervencion,9
estatal,1
ello,1
superar,1
brechas,2
desigualdad,3
exclusion,1
social,25
propuesta,3
adelante,1
construccion,31
embargo,1
retos,6
per,3
sisten,1
segregacion,1
socioespacial,1
terminan,1
ademas,11
suman,1
agenda,10
aspectos,1
calidad,37
aire,17
niveles,4
contaminacion,4
enfrentamos,1
desafio,1
