word,frequency
sostenido,4
inclusivo,3
pleno,12
productivo,14
decente,8
contribucion,18
moni,1
toreara,1
indicador,34
agenda,51
objetivos,147
relaciona,26
continuacion,26
elaboracion,7
propia,3
encuesta,14
integrada,12
hogares,41
dane,7
espera,17
realizadas,33
periodo,8
for,3
malidad,1
superior,26
masiva,1
descripcion,108
generar,56
ciudadania,84
especializada,9
conocimientos,12
demandados,3
tecnicos,5
tecnologos,1
profesionales,9
requieran,4
ambas,1
responden,3
sector,61
empresarial,27
local,50
internacional,19
contribuyendo,16
general,128
posibilidades,7
especificos,108
entrenamiento,1
cualifi,1
cado,1
afines,4
producto,246
beneficiadas,15
sapiencia,16
especializado,4
formados,14
competencias,28
laborales,12
blandas,5
adultos,7
formadas,7
difusion,11
sensibilizacion,11
promocion,88
postsecundaria,19
implementada,34
cualificacion,20
mercados,17
internacio,1
buscar,3
cierre,11
sociales,100
torno,11
fomentar,23
asociados,13
volucion,1
conexion,10
mercado,14
poblacion,130
ambitos,8
incrementar,9
estudiantes,25
tecnologicos,9
acerquen,1
vinculados,5
laboralmente,3
cooperan,1
implementacion,112
cerebros,1
fugados,1
tabla,40
continua,47
siguiente,41
pagina,40
vinculadas,6
humana,37
servicio,44
recien,2
graduados,1
acceden,10
primer,7
sociedad,57
basada,9
produccion,36
materias,3
primas,3
bienes,33
interconectividad,1
dicha,5
importantes,7
reto,6
asumido,1
cuadruple,1
helice,1
universidades,3
estado,35
densidad,2
metropolitana,23
urbanistica,3
ofrecen,2
concentrados,2
actividades,41
favorecen,3
proximidad,2
espacial,3
incrementa,1
interaccion,15
transferencia,14
fenomeno,1
desata,1
cascada,1
trabajadores,1
prefieren,2
interactuar,4
densos,1
pues,9
reducen,1
costos,4
aumenta,3
otro,16
lado,11
compañias,1
etapas,8
tempranas,6
productos,14
ubicarse,1
lugares,5
disponible,5
manera,72
abundante,1
costo,1
nijkamp,1
dificultades,3
tipo,10
logistico,3
elevan,1
transporte,36
puertos,2
impiden,1
manufactura,1
precios,1
competitivos,3
componentes,12
modelo,45
ofrece,2
ventaja,4
uso,64
vias,6
bastante,1
subdesarrollada,1
explotar,1
mejor,12
redes,26
telecomunicaciones,2
transicion,8
hacia,43
fuerte,3
sino,22
exige,3
otras,27
aceleren,2
buenas,15
practicas,60
alla,7
transmision,2
comunicacion,57
mentorias,1
alto,19
impulso,3
ventas,4
generadas,5
creadas,4
millones,8
fortalecidas,8
centros,26
pesos,8
caracterizacion,8
fomento,15
creativa,20
diseñada,14
solucionados,1
pib,6
conexiones,6
gratuito,3
gracias,4
participa,3
biblioteca,10
abierta,1
diseño,18
socializacion,3
piloto,9
fases,2
aportaran,4
noveno,1
construir,26
infraestructuras,7
resilientes,6
industrializacion,2
inclusiva,6
monitoreara,22
actipib,2
observatorio,9
colombiano,5
ocyt,1
propiciara,1
fin,42
vocacion,6
funcionan,2
plataforma,11
aceleracion,2
modelos,12
negocio,8
bpo,3
territorios,58
spinoff,1
publicas,61
privadas,15
red,44
instituciones,65
metodologico,1
definiran,1
rutas,15
riqueza,3
permitiran,4
captar,2
potencial,16
constante,4
soportado,1
transver,2
salmente,1
vigilancia,28
periodica,2
digitales,12
identificacion,24
nacional,47
hara,2
comunitaria,14
municipio,132
tal,16
zonal,3
cedezo,2
cib,1
bibliotecas,9
uvas,2
colegios,1
ciudadela,10
universitaria,4
laboratorio,3
otros,44
actualizando,1
mejorando,6
equipamiento,3
oportuno,2
segun,19
trazados,3
transformar,9
propiciando,6
prendimientos,1
aprove,3
chando,1
existente,8
sumando,1
negocios,8
dinamica,7
reactivando,1
logrando,5
posicionamiento,7
competitivo,5
alcanzar,3
mayores,30
exportaciones,1
diseñar,23
poner,6
funcionamiento,12
estrategias,168
asociativos,3
articulando,5
propiciar,14
adopcion,18
facilitando,3
impulsar,8
dinamicas,25
adaptables,1
entornos,12
cambiantes,1
fortalecer,140
forma,52
prestar,4
vision,19
alcance,2
latinoamericano,1
spin,3
off,3
integral,137
urbano,17
cientifica,4
beneficio,4
comunidad,27
educativo,38
creados,2
puestos,1
implementado,40
intervenidos,8
exitosas,3
universitarias,5
formalizacion,4
creada,3
espacio,60
urbanotecnologica,1
diseñado,13
formulado,13
creado,11
cul,2
tural,2
orientadas,26
audiencias,2
ingresos,19
presenciales,5
virtuales,7
consoliden,2
promuevan,17
contribuyan,22
dinamizar,8
ademas,30
comprender,4
nicho,1
culturales,97
creativas,5
encuentran,13
diferentes,105
preincubacion,1
incubacion,1
creativo,6
compuesta,2
gubernamentales,2
incremento,9
creativos,6
articular,14
orientar,8
enfocadas,6
politica,193
intersectorial,12
enfocada,3
maximizando,1
privado,15
academico,4
actual,10
incentiven,3
promueva,3
accion,51
cadena,8
condiciones,97
propicias,1
asertivas,1
ley,25
acompañando,2
misional,3
