full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" @flaorrego @arqfada @cynthiayanesc “Merecíamos embriagarnos de progreso, ahora necesitamos revisarnos” Medellín, urbanismo y sociedad. Ojalá no haga falta una etapa de crisis extrema para que retomemos el camino del diálogo social amplio y serio sobre nuestros retos. @lab_mde",PerezJaramilloA,Colombia,2022-05-18 02:21:45,1526749853526760000,3,6,8
" @FicoGutierrez La gente habla por hablar, mostrando su total desconocimiento en materia de bienestar animal y todo lo que hizo Fico por ellos cuando fue alcalde de Medellín. Si hay algo seguro, es del compromiso que este tiene con los animales.",LoMejorDeLos80s,,2022-05-18 00:01:08,1526714467261860000,0,0,10
" #AEstaHora A través del Centro de Pensamiento y Gobierno Escolar de la Personería de Medellín, el Personero @WilliamYeffer participa en el Segundo Seminario de Biodiversidad en la Educación el cual se realiza en la @Uni_Remington",personeriamed,"Medellín, Antioquia, Cologmbia",2022-05-19 15:04:58,1527304310027080000,2,6,11
" Cierre del Lab1 #Maestríaurbam en Bello Oriente, zona Nororiental de Medellín. Espacio para intercambiar aprendizajes y reimaginar el barrio. Retos como la gestión del agua, la movilidad de los adultos mayores en la ladera, el hábitat y la autoconstrucción. @urbam_EAFIT @EAFIT",talacastano,,2022-05-21 18:44:09,1528084248120410000,1,4,13
" 📢¡ @Hydrometra11 abre convocatoria para nuevos integrantes!. Este grupo busca investigar, formar y generar tecnología mediante el desarrollo de medios de transporte de alta eficiencia energética, buscando potenciar la movilidad sostenible. 🌎🛥️ ➕Info:",fminas,Medellín - Colombia,2022-05-21 18:30:00,1528080685457550000,1,1,13
" La Secretaría de Movilidad de Medellín estaría vendiendo más barata la chatarra de 50.000 carros y motos, ¿qué está pasando? ⬇",elcolombiano,Medellín,2022-05-21 18:15:01,1528076915214630000,14,9,13
" Ojo que desde el lunes nos van a multar si vamos a más de 50 km/hora por la Av 80, la cual debería llamarse a partir del lunes Av 50.",paisacontento,,2022-05-21 17:43:19,1528068938638280000,0,0,13
" Puedes solicitar tu audiencia virtual en #MovilidadenLínea. Ten en cuenta: ✅Ingresar a👉https://t.co/ni47AgbKIo 🖱️En la sección ""Mis Multas"", haz clic en ""Solicitar Audiencia"" 📎📄Adjunta los documentos requeridos y separa la fecha de la audiencia. #MuéveteEnLínea",sttmed,"Medellín, Colombia",2022-05-21 17:30:39,1528065748240840000,0,1,13
 Trabajo híbrido: solución a movilidad en Bogotá y Medellín,akaroleal,"Bogotá, D.C., Colombia",2022-05-21 17:23:33,1528063963069660000,0,0,13
 Ahora es más fácil ponerte al día con tus multas de tránsito: 1️⃣ Ingresa a 👉 2️⃣ Selecciona los comparendos que deseas pagar. 3️⃣Imprime tu liquidación. 4️⃣Dirígete a la sucursal Cotrafa más cercana con el código de barras.,sttmed,"Medellín, Colombia",2022-05-21 16:00:00,1528042936448920000,0,3,13
" @lumalo El desorden en todo lo relacionado a movilidad, tránsito, etc es absurdo en Medellín",Sriveral,"Medellin, colombia",2022-05-21 15:39:13,1528037708005770000,0,0,13
 #Movilidad ¡Taxista! Así rotará el pico y placa en Medellín para la semana del 23 al 27 de mayo @taxsupermed @TaxCoopebombas @TaxisLibresCol,elmetroenlared,Medellín - Colombia,2022-05-21 15:13:26,1528031218633160000,0,0,13
" Con seis cambios viales, se mejorará la movilidad en el sector de San Diego, en Medellín. La señalización de 38 pasos peatonales y una nueva intersección semafórica hacen parte de esta intervención de movilidad.",vivirpoblado,Medellín - Colombia,2022-05-21 13:01:16,1527997957555070000,0,1,13
" Faltan días para dar inicio a nuestras giras presenciales de movilidad sostenible y sostenibilidad 2022 🇨🇴, de la mano de @LataMobility. Latam Mobility Colombia 🎟: Net Zero Leadership Forum | Registro sin costo:",LatamGreen,Panama,2022-05-21 01:29:49,1527823948217470000,0,5,13
 @sttmed señores secretaria de la movilidad de la ciudad de Medellín les pregunto es que la calle de la paz entre la minorista y Bolívar no les pertenece que ya no huy por donde caminar ni por los andenes ni por la vía por los los carros son en vía,orrego19671,"Medellín, Colombia",2022-05-21 00:25:54,1527807864043080000,0,0,13
" @sttmed Se nota la inoperancia de la secretaria, sector occidente en caos total y no se ve ningún agente de tránsito colaborando con la movilidad. Da tristeza en lo que se ha convertido la movilidad en medellin",hugohgarzono,colombia,2022-05-21 00:19:48,1527806326402910000,0,0,13
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:49,1527802306116340000,4,2,13
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:44,1527802284096340000,4,1,13
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:38,1527802261438600000,4,1,13
" Via CALZADA BOGOTÁ-MEDELLÍN municipio de Bello a la altura de Báscula , presenta movilidad reducida por alto flujo vehicular. km 2+200 (18:43)",Devimed,"Antioquia, Colombia",2022-05-20 23:43:55,1527797299052750000,0,0,13
 La Guerra del centavo de los buses de Robledo quienes no respetan las señales de tránsito y los semáforos. @sttmed #movilidad #medellin #DenunciasAntioquia #SomosDenunciasAntioquia,DenunciasAntio2,"Medellín, Colombia",2022-05-20 22:22:44,1527776865477350000,3,8,13
 #FinanzasPersonales | Trabajo híbrido surge como solución a trancones en #Bogotá y #Medellín,ValoraAnalitik,Colombia,2022-05-20 21:11:51,1527759030466270000,7,12,13
" 🙋‍♂️🙋Programa tu cita con tiempo para trámites presenciales a través de #MovilidadEnLínea. Recuerda: los miércoles habilitamos la agenda para los días jueves, viernes y sábado. Y los sábados para los días lunes, martes y miércoles. Agéndala aquí 👉",sttmed,"Medellín, Colombia",2022-05-20 21:00:00,1527756046827070000,0,2,13
 Obten el 20% de descuento sobre tus multas y el 100% de descuento sobre los intereses. Solo aplica para las infracciones con resolución sancionada y firmada antes del 30 de junio de 2021. Ingresa a #MovilidadEnLínea👉 #Al100xBelen #Comuna16 #Medellín,comunicandobel,"Medellín, Colombia",2022-05-20 19:27:10,1527732685183110000,0,0,13
 Recuerda que puedes obtener el 20% de descuento sobre tus multas y el 100% de descuento sobre los intereses. Solo aplica para las infracciones con resolución sancionada y firmada antes del 30 de junio de 2021. Ingresa a #MovilidadEnLínea👉,sttmed,"Medellín, Colombia",2022-05-20 19:00:01,1527725850270940000,0,4,13
" Tienen que ser muy brutos, masoquistas o cómplices en Medellín si votan por @petrogustavo, patrón de @quinterocalle: Es a su campaña donde han ido a parar los recursos de Salud, 1a. Infancia, 3a. Edad, Educación, Infraestructura, Seguridad, Movilidad, Cultura, Deporte. Denunciado",CESARAMEJIA,"La Ceja, Antioquia, Colombia",2022-05-20 17:26:07,1527702222435500000,18,26,13
