word,frequency
más,1076
me,1114
como,1114
su,1118
El,1142
-,1191
Medellín.,1374
.,1487
lo,1507
al,1599
una,1683
"Medellín,",2031
las,2151
un,2415
se,2604
no,2719
es,2859
para,2990
por,3010
con,3155
del,3251
los,3381
el,7073
a,7169
Medellín,7177
que,7226
y,8241
la,9478
en,12652
de,19476
