full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" Empresas Públicas de Medellín es la empresa de servicios públicos más grande del país. Provee agua potable a 1.6 millones de colombianos y energía a 8.5 millones. Tiene cerca de 24 mil trabajadores. Quintero y Duque deben a sacar a EPM de su pelea, 50 locos gritando no son EPM.",AndresTrigos,Colombia ,2022-05-13 16:52:47,1525157117778330000,3,13,3
" @MirandaBogota @QuinteroCalle ¿ Las mismas jugaditas de Quintero? Señora Miranda, el alcalde de Medellín llegó a la Alcaldía prometiendo rebajar los servicios públicos, adicional a eso pasados dos años, la ciudad paga los servicios más caros de toda Colombia",alejovr90,,2022-05-13 13:21:17,1525103892865950000,2,2,3
 @felipesancheztv Hoy pague los servicios públicos más caros de mi vida @EPMestamosahi tengo una rabia la hp... algo me dice que este ladrón @QuinteroCalle tiene de caja las empresas publica de medellin 😡,juansebas0327, Colombia ,2022-05-13 03:57:54,1524962110710720000,0,0,3
" Medellin ha avanzado más q’otras ciudades en temas sociales,servicios públicos,educación etc.por la unión entre lo público,lo privado,ONGs y centros educativos.S’equivoca Quintero en criticar al GEA q’ ha sido actor central en El Progreso de nuestra ciudad.Ej. de ética y civismo.",nicoechavarriam,,2022-05-13 01:59:17,1524932261400950000,4,31,3
" @risimo5 @QuinteroCalle Cuál todo Medellín ome bobo hp, ahora sí nos van a clavar un alza en los servicios públicos, ojalá después no te quejes.",MateoPuerta6,,2022-05-13 00:10:16,1524904827217760000,0,2,3
" @Claudia01070819 @QuinteroCalle Esperese doña ignorante. Que cuando desocupen las arcas de las empresas públicas de Medellín.y que es va a dar cuenta. A ver si va a sentir ese fresquito,cuando le suban los recibos de los servicios públicos.",PepeLazzo,"New York, NY",2022-05-12 21:00:18,1524857017348900000,0,0,3
" @Itsmargara @BluRadioCo Los habitantes de Medellín y el Valle de Aburrá nos está exprimiendo vía cuentas de servicios públicos para sostener las extravagancias, sobornos, publicidad y participación política del dictadorzuelo del piso 12, donde solo existe un concierto para delinquir. #QuinteroSeVa",Carlosacgonza,Colombia,2022-05-12 17:26:52,1524803306949960000,0,0,3
" @IvanDuque @CGR_Colombia revise facturación en los servicios públicos en medellín d estratos 4 -5 y 6 q están x las nubes, otros imptos y recursos q la nación ha entregado al alcalde para el desarrollo d la ciudad 👉👉👉@QuinteroCalle y petristas q utilizaron recursos en campaña d #Petro.",VERRI50,,2022-05-12 16:04:39,1524782615731090000,0,0,3
" @ArleyRe60817496 @QuinteroCalle @elpais_america Todo Medellín? Será ud y sus amigotes. Porque el resto está cansado de ese payaso. Solo con preguntar, por las basuras, los servicios públicos, la inseguridad. El grueso de la gente no quiere a ese señor. Por eso es que ayer les tocó obligar a los funcionarios a salir al planton",yeifery2,Bogotá,2022-05-12 13:30:20,1524743782234790000,0,0,3
 @jarizabaletaf Las promesas del disque alcalde de Medellín. Los servicios públicos cada día más caros 🙄. Este tipejo no es más que un pelele.,InesBetancur1,Colombia,2022-05-12 00:31:14,1524547716012990000,0,2,3
" @LarvaMonh La alcaldía de Federico hizo una de las mayores etapas de conexión de servicios públicos en la historia de Medellín ¿Federico de izquierda? Y Chocolate existe porque las alcaldías no son deficientes, vayan a defender al patrón que les paga a contratistas o gente del HGM, vayan,",YessidAlvarez,Medellín-Colombia,2022-05-11 19:24:58,1524470638836170000,0,0,3
" Los que viven en Villavicencio , Bogotá y Valle del Cauca creen que en Medellín la gente vive con los servicios públicos rebajados, con todo bonito",alejovr90,,2022-05-11 17:51:50,1524447201065380000,0,2,3
